facility_name,facility_state,facility_address,facility_city,facility_zip,facility_phone_number,facility_extra_info
All Med Home Health Services,California,16661 VENTURA BLVD STE 503,Encino,91436,818-986-2356,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
All Smiles Home Health Care,California,"6345 BALBOA BLVD, STE 257",Encino,91316,818-788-4180,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Annex Health Care Providers,California,"16633 VENTURA BLVD, SUITE 540",Encino,91436,818-509-2661,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Care Sharing Home Health,California,"16861 VENTURA BLVD, SUITE 200",Encino,91436,818-784-9940,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Chelsea's Home Health Care,California,17000 VENTURA BLVD SUITE 101,Encino,91316,213-484-8908,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Excellent In-Home Care,California,16601 VENTURA BLVD SUITE 506,Encino,91436,818-755-4900,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Homehealth Solution,California,17000 VENTURA BLVD SUITE 201,Encino,91316,818-788-2746,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
HRN Services,California,"6345 Balboa Boulevard/#199, Encino Office Park IV",Encino,91316,818-881-6600,""
Jewish Home Care Services,California,"6345 BALBOA BLVD, STE 213",Encino,91316,818-655-0411,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Skirball Hospice,California,"6345 Balboa Blvd., Suite 213",Encino,91316,818-774-3040,""
Stars Homecare,California,18075 Ventura Blvd Ste 214,Encino,91316,818-263-9103,"Services: Hospice, Private Duty Home Care, and Home Care"
Trusted Hands Network,California,16911 Escalon Dr,Encino,91436,323-304-6146,""
Vitas Health Care of California,California,"16830 Ventura Blvd., Ste 315",Encino,91436,818-760-2273,""
Xl Care,California,17555 VENTURA BLVD SUITE 201,Encino,91316,818-785-2944,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Apothecary & Escondido Surgical Supply,California,941 East Valley Parkway,Escondido,92025,855-757-9233,""
Beverly Home Health Care Care Agency,California,421 East Mission Avenue,Escondido,92025,619-747-6938,""
BrightStar Care Of Escondido And San Marcos,California,639 North Escondido Blvd,Escondido,92025,760-738-1926,"Services: Hospice, Private Duty Home Care, Home Care, Home Health Aid, Nursing Care, Occupational Therapy, and Physical Therapy"
Elizabeth Hospice,California,150 West Crest Street,Escondido,92025,760-737-2050,""
Emerald Triune Home Health Services,California,330 W Felicita Avenue,Escondido,92025,760-294-9680,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
"Heavenshands Elder Care,LLC.",California,1324 Greenway Rise,Escondido,92027,858-888-3064,"Services: Hospice, Private Duty Home Care, Home Care, Home Health Aid, and Nursing Care"
Interim Health Care Of San Diego County,California,"425 W 5TH AVENUE, SUITE 101 & 104",Escondido,92025,760-432-9811,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, Private Duty Home Care, and Speech Pathology"
Palomar Home Health Services,California,800 W VALLEY PARKWAY #200,Escondido,92025,442-281-3800,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Preferred Home Health Services,California,334 W 3rd Avenue,Escondido,92025,760-480-2273,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Hospice of Humboldt,California,2010 Myrtle Avenue,Eureka,95501,707-445-8443,""
St Joseph Home Care - Humboldt County,California,2127 HARRISON AVE #3,Eureka,95501,707-443-9332,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Visiting Angels,California,1112 5th Street,Eureka,95501,707-442-8001,""
The Lutzker Group,California,1408 Golden Crest Drive,Exconvido,92029,760-480-9060,""
Visiting Angels,California,"526 North """"F"""" Street",Exeter,93221,559-592-6794,""
Eskaton Home Care,California,"9722 Fair Oaks Boulevard, Suites A & E",Fair Oaks,95628,916-536-3750,""
Eskaton Home Health Care,California,"9722 FAIR OAKS BLVD, SUITE A & E",Fair Oaks,95628,916-536-3750,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Good Hands In Home Care,California,3336 N. Texas Street,Fairfield,94533,707-803-2469,"Services: Private Duty Home Care, Home Care, and Home Health Aid"
East Bay Home Health Services,California,"1710 Pennsylvania Avenue, Suite E",Fairfield,94533,707-428-1473,"Services: Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Northbay Health At Home,California,"4520 Business Center Drive, Suite 160",Fairfield,94534,707-646-3575,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
NorthBay Health Care Group,California,1200 B. Gale Wilson Blvd.,Fairfield,94533,707-429-7725,""
Intermountain Hospice,California,PO Box 459,Fall River Mills,96028,530-336-5511,""
Clinical Support Services,California,PO Box 910,Fallbrook,92088,855-757-9233,""
Fallbrook Home Health And Hospice,California,"521 E ELDER STREET, SUITE 208",Fallbrook,92028,760-731-7735,"Services: Hospice, Home Care, Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Fallbrook Hospital District Home Care/Hospice Services,California,624 East Elder Street,Fallbrook,92028,760-731-8178,Services: Home Care
Paramount Home Health Services,California,1915 Beverly Boulevard,Flint,90057,213-989-0888,""
Ang Health Care,California,"6693 Folsom Auburn Road, Suite M",Folsom,95630,916-990-0930,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Bayada Nurses - Edelweiss Division,California,104 Tomlinson Drive,Folsom,95630,916-987-1991,""
Country Home Health,California,510 Mill Street,Folsom,95630,916-685-9815,""
Help at Home,California,"13405 Folsom Boulevard, Suite 512",Folsom,95630,916-933-9050,"Services: Hospice, Private Duty Home Care, and Home Care"
Ross Managed Care,California,1024 Iron Point Road,Folsom,95630,714-498-9226,""
Grace Home Health Nursing Services,California,6101 Cherry Avenue Suite 206,Fontana,92336,909-463-7400,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Kaiser Foundation Hospice Program,California,9961 Sierra Avenue,Fontana,92335,909-829-5000,Services: Home Care
Kaiser Foundation Hospital Home Health Agency,California,"9961 Sierra Avenue, Building 3A",Fontana,92335,909-609-3800,""
Kaiser Foundation Hospital Home Health Agency,California,17284 Slover Avenue,Fontana,92335,909-555-1212,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Kanddid Health Care,California,"9161 SIERRA AVENUE, SUITE 200",Fontana,92335,909-574-6000,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Hospice Care of the West,California,"27442 Portola Parkway, Suite 200",Foothill Ranch,92610,949-282-5948,""
Mendocino Coast Home Health,California,700 River Drive,Fort Bragg,95437,707-961-1234,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
St. Joseph Home Care Network,California,1131 Main Street,Fortuna,95540,707-725-3389,""
1st Choice Home Health Care,California,1291 E Hillsdale Blvd. Suite 225b,Foster City,94404,650-393-5936,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Accentcare Home Health Of California,California,"1065 E Hillsdale Blvd, Suite 100",Foster City,94404,650-358-1240,"Services: Home Care, Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
At Home Health Care,California,"1065 Est Hillsdale Boulevard, Suite 100",Foster City,94404,650-368-1182,""
Home Intercom & Security,California,18566 Santa Tomasa Circle,Fountain Valley,92708,714-639-1181,""
Saddleback Home Caregivers,California,17360 Brookhurst Street,Fountain Valley,92708,949-380-3195,""
Sunrise Home Health Care,California,10840 WARNER AVE SUITE 105,Fountain Valley,92708,714-861-4421,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
American Home Health Care,California,"39350 CIVIC CENTER DRIVE, SUITE 350",Fremont,94538,510-574-0390,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Care In Touch Home Health Agency,California,"41829 ALBRAE STREET, SUITE 218",Fremont,94538,510-651-8500,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Comfort Keepers,California,"46560 Fremont Blvd., Suite 409",Fremont,94538,510-789-1900,Services: Private Duty Home Care and Home Care
Emmanuel Health Care,California,"4510 Peralta Boulevard, Suite 25",Fremont,94536,510-894-4139,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Golden Angels Home Health Care,California,"43136 CHRISTY STREET, SUITE 112",Fremont,94538,510-683-4600,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Guardian Home Health Care & Hospice,California,"39055 Hastings Street, Suite 202b",Fremont,94538,510-742-8700,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Infinity Nurses Care,California,2410 Dyer Lane,Fremont,94536,510-713-8892,""
Noble Hospice & Home Health Care,California,41305 Albrae Street,Fremont,94538,510-683-9100,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Nursing Resources,California,"39111 Paseo Padre Parkway, Suite 319",Fremont,94538,510-745-7878,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Onmycare Home Health,California,"39176 State Street, Suite D",Fremont,94538,510-858-2273,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Primeliving Home Health,California,"48521 Warm Springs Boulevard, Suite 307a",Fremont,94539,510-770-9810,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Professional Home Care Associates,California,2296 Country Drive,Fremont,94536,510-797-9299,"Services: Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Sehaj Home Health,California,"44790 S Grimmer Boulevard, Suite 206",Fremont,94538,510-573-2013,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
St. Vincent's Hospice,California,"39245 Liberty St, D8",Fremont,94538,909-623-9972,""
SYNNEX,California,44201 Nobel Drive,Fremont,94538,510-656-3333,""
Visiting Angels of Fremont,California,"39195 Paseo Padre Prkway, #215",Fremont,94538,510-284-0000,""
Warm Springs Home Health,California,54 Whitney Place,Fremont,94539,510-490-6988,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
We Care Home Care And Hospice,California,46723 Fremont Boulevard,Fremont,94538,510-651-2100,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Amedisys Home Health,California,"7265 North 1st Street, Ste 102",Fresno,93720,559-435-1385,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Around The Clock Companion Care,California,295 W. Cromwell #110,Fresno,93711,559-320-2400,Services: Private Duty Home Care and Home Care
AseraCare Hospice,California,650 West Alluvial Avenue,Fresno,93711,559-447-2540,""
"Auspice Home Care Solutions, LLC",California,1754 E. Bullard #102,Fresno,93710,559-436-4782,"Services: Private Duty Home Care, Home Care, Home Health Aid, and Medical Social"
Avance Home Health,California,"1350 O STREET, STE 303",Fresno,93721,559-255-9300,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Bright Horizon Home Health,California,"6215 N FRESNO STREET, SUITE 103",Fresno,93710,559-432-0707,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Bright Horizon Hospice Services,California,"2115 Kern Street, Suite 101",Fresno,93721,559-443-0303,Services: Hospice
Bright Light,California,"7636 North Ingram Avenue, Ste 105",Fresno,93711,559-924-1883,""
Caring Senior Service,California,7940 N Maple Ave Suite 102,Fresno,93720,559-777-6086,Services: Home Health Aid and Private Duty Home Care
Community Home Care,California,"1630 EAST SHAW, SUITE 154",Fresno,93710,559-459-1615,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Community Home Care Services,California,"1925 East Dakota Street, Suite 208",Fresno,93726,559-459-1867,Services: Home Care
Compassionate Care Home Health Agency,California,"7545 N DEL MAR AVENUE, SUITE 103",Fresno,93711,559-432-2003,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
"Dedicated Care In-Home Services, Inc.",California,"2499 W. Shaw Avenue, Suite 103",Fresno,93711,559-765-0888,"Services: Private Duty Home Care, Home Care, and Home Health Aid"
Focus Health,California,"377 W Fallbrook Avenue, Suite 206",Fresno,93711,559-432-2257,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
"Fresno Yosemite Health Care, Inc.",California,1951 N. Gateway Blvd. Ste. 102,Fresno,93727,559-255-9965,"Services: Private Duty Home Care, Home Care, Home Health Aid, Medical Social, Nursing Care, and Physical Therapy"
Health Care California,California,5709 N WEST,Fresno,93711,559-243-9990,"Services: Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Healthy Living At Home- Fresno,California,"1318 E SHAW AVE, STE 100",Fresno,93710,888-983-4134,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
"Home Instead Senior Care, Fresno & Modesto",California,"5100 North Sixth Street, Suite 101",Fresno,93710,559-243-1224,Services: Home Care
Interim Health Care Of The Central Valley,California,"1843 E FIR AVENUE, STE 101",Fresno,93720,559-224-0560,"Services: Private Duty Home Care, Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Lifecare Solutions,California,"4910 East Ashlan Avenue, Suite 118",Fresno,93726,209-722-1366,""
Lifecare Solutions,California,"4910 East Ashlan Avenue, Suite 118",Fresno,92726,209-439-0909,""
Maxim Health Care Services,California,"6051 N FRESNO STREET, SUITE 102",Fresno,93710,559-224-9078,"Services: Home Care, Home Health Aid, Medicare, Nursing Care, and Physical Therapy"
Hinds Hospice,California,"2490 W Shaw Ave, Ste 101",Fresno,93711,559-226-5683,"Services: Hospice, Home Care, Home Health Aid, Medical Social, and Nursing Care"
Neighborhood Home Health at San Joaquin Gardens,California,5555 North Fresno Street,Fresno,93710,209-439-1643,""
Optimal Hopice Care-Fresno,California,"6770 North West Avenue, Suite 105",Fresno,93711,559-320-4004,Services: Home Care
Pro Hospice Agency,California,5707 N 1st Street,Fresno,93710,559-435-9991,"Services: Home Health Aid, Hospice, Medical Social, Nursing Care, Physical Therapy, and Speech Pathology"
RehabFocus Home Health. DBA Focus Health,California,"Fresno Home Health Agency, 295 W. Cromwell Ave, Suite 103",Fresno,93711,209-432-2257,""
Remedy Home Care,California,3447 W SHAW AVE,Fresno,93711,559-742-7000,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Saint Agnes Home Health And Hospice,California,6729 North Willow Ave Suite 103,Fresno,93710,559-450-5112,"Services: Hospice, Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
San Joaquin Health Care,California,"1111 East Spruce Avenue, Suite 101",Fresno,93720,559-435-4663,""
San Lorenzo Home Health,California,4021 N FRESNO STREET #105,Fresno,93726,559-230-0516,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
St Mary's Home Health Services,California,"3180 E SHIELDS AVE, #105",Fresno,93726,559-221-9919,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
St. Agnes Home Health,California,1303 E. Herndon Avenue,Fresno,93720,559-450-5124,Services: Home Care
Sunshine Home Care of CA,California,"4460 W Shaw Ave, Suite 472",Fresno,93722,559-277-0520,Services: Home Care
Therapeutic Home Health Care,California,"5150 N SIXTH STREET, STE 110",Fresno,93710,559-224-8585,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Valley Home Care,California,"2511 W. Shaw Avenue, Suite 101-A",Fresno,93711,559-222-0344,Services: Private Duty Home Care and Home Care
Valley Home Health,California,2511 West Shaw Avenue Suite 101,Fresno,93711,559-222-4060,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Valley Regional Home Health,California,"7498 N REMINGTON, SUITE 101",Fresno,93711,559-554-4772,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Vida Care Home Health,California,"5100 N SIXTH STREET, SUITE 112",Fresno,93710,559-248-0277,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
VP Comfort Care,California,"1300 W. Shaw, Suite 3A",Fresno,93711,559-840-1636,"Services: Private Duty Home Care, Home Care, and Home Health Aid"
Wilshire Home Health,California,"1130 E SHAW AVE, SUITE 200",Fresno,93710,559-248-0131,"Services: Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Care More Hospice,California,2495 E. Orangethorpe Ave #200,Fullerton,92831,714-447-9465,""
Carechoices Home Health Services,California,"1501 E Orangethorpe Avenue, Suite 220",Fullerton,92831,714-515-7650,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Lifesavers' Home Health Services,California,903 W Wilshire Blvd,Fullerton,92832,714-876-6280,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Lodi Memorial Hospital Home Health Agency,California,"387 Civic Drive, Suite A",Galt,95632,209-745-6105,""
Heart of the Redwoods Community Hospice,California,464 Maple Lane,Garberville,95542,707-923-7276,""
Act Home Health,California,"12431 LEWIS STREET, SUITE 101",Garden Grove,92840,714-560-0800,"Services: Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Apria Health Care,California,"7077 Orangewood Ave, Suite 100",Garden Grove,92841,714-995-4545,""
CareSouth - Garden Grove Division,California,"12419 Lewis Street, Suite 101",Garden Grove,92840,866-671-8936,Services: Home Care
Carewell Home Health,California,"12630 Brookhurst St, Suite E",Garden Grove,92840,714-530-9750,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
EMS Home Healthcare Services,California,"12821 Western Avenue, Unit M,",Garden Grove,92841,714-793-1492,Services: Private Duty Home Care and Home Care
Garden Grove Hospice,California,12882 Shackelford Lane,Garden Grove,92841,714-638-9470,""
HABACO Life Linc,California,12706 Hoover Street,Garden Grove,92841,855-757-9233,""
Kindred At Home,California,"12419 LEWIS STREET, SUITE 104",Garden Grove,92840,714-663-2703,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Odyssey Health Care of Orange County Hospice,California,"7077 Orangewood Avenue, Suite 201",Garden Grove,92841,800-797-2686,""
Pacific Coast Hospice,California,"7077 Orangewood Avenue, Suite 227",Garden Grove,92841,714-245-7420,""
Pec Health Care,California,10507 Garden Grove Blvd,Garden Grove,92843,714-689-2300,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Professional Health Care Services Incorporated,California,"14361 Euclid Street, Suite 3D",Garden Grove,92843,888-534-8082,"Services: Hospice, Private Duty Home Care, Home Care, Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, and Physical Therapy"
Quality Continuum Hospice,California,"7077 Orangewood Avenue, Suite 201",Garden Grove,92841,714-372-4673,""
Quality Home Health Services,California,"26137 La Paz Road, Suite 240",Garden Grove,92691,714-373-5050,""
St Clare's Home Care,California,"12912 Brookhurst Street, Suite 402",Garden Grove,92840,714-817-9700,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Tenet Home Care at Garden Grove,California,"12419 Lewis Street, Suite 101",Garden Grove,92840,949-753-2390,""
Ultimate Care,California,5711 Converse Howe Circle,Garden Grove,92845,714-373-1107,""
United Integrity Home Health,California,"12900-A GARDEN GROVE BLVD, SUITE 116",Garden Grove,92843,714-539-5249,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Visiting Angels,California,"11602 Knott Avenue, Ste 7",Garden Grove,92841,714-379-4546,Services: Hospice
All Care Enterprises,California,"1225 WEST 190TH STREET, SUITE 260",Gardena,90248,310-768-1600,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Faith's Home Care And Custodial Service Inc.,California,"16010 Crenshaw Blvd, Suite (S) And (T)",Gardena,90249,310-400-7123,Services: Home Care and Home Health Aid
Greater South Bay Area Home Health,California,18726 South Western Ave Suite 409,Gardena,90248,310-329-4835,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Independence Home Health Care,California,135 W WALNUT ST,Gardena,90248,310-523-1905,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Maxim Health Care Services,California,"1515 West 190th Street, Suite 155",Gardena,90248,310-329-9115,Services: Home Care
Omnicare Home Health,California,14000 VAN NESS AVE SUITE D,Gardena,90249,310-228-3141,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
One On One Care - South Bay,California,879 West 190th Street Suite 400,Gardena,90248,888-727-9322,"Services: Private Duty Home Care, Home Care, and Home Health Aid"
Visiting Angels,California,879 W. 190th St. 400,Gardena,90248,310-217-4050,""
Wisdom Health Care Services,California,16921 SOUTH WESTERN AVENUE #215,Gardena,90247,310-324-3290,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
CaringHand Home Health Services Inc.,California,"8010 Wayland Lane, Suite 2-E",Gilroy,95020,408-847-8517,"Services: Private Duty Home Care, Home Care, and Home Health Aid"
Healing Touch Of California Home Health Agency,California,"8010 Wayland Lane, Suite 1e",Gilroy,95020,408-848-3900,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Healing Touch Of California Home Health Agency Inc,California,"8010 Wayland Ln., Ste 1-E",Gilroy,95020,408-848-3900,"Services: Home Care, Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Visiting Angels Gilroy,California,"700 W. 6th Street, Ste. L",Gilroy,95020,408-846-2988,"Services: Hospice, Private Duty Home Care, Home Care, and Home Health Aid"
As Lief Home Health Agency,California,"4138 Eagle Rock Boulevard, Suite B",Glassell,90065,909-397-5688,""
A & P Home Health,California,"212 N GLENDALE AVE, STE 104",Glendale,91206,818-846-4100,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
A To Z Home Health,California,212 North Glendale Ave Suite 200,Glendale,91206,818-509-3000,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Aaa Home Care,California,541 West Colorado St Suite 207,Glendale,91204,818-662-8866,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Able Hands Home Health Services,California,"517 EAST WILSON AVE, #203 B",Glendale,91206,818-956-9954,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Acacia Home Health Services,California,"1616 VICTORY BLVD, SUITE 205",Glendale,91201,818-241-2200,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Advanced Home Health Care,California,123 S Jackson Street,Glendale,91205,818-937-9251,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Adventist Health Home Care Services,California,281 Harvey Drive Unit A,Glendale,91206,818-409-8379,"Services: Home Care, Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Adventist Health Home Care Services Glendale,California,"281 Harvey Drive, Suite A",Glendale,91206,818-409-8379,Services: Home Care
Aid Home Health Care,California,"1007 South Central Ave, Suite 208",Glendale,91204,818-242-4979,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
All American Home Health,California,"1612 West Glenoaks Bvld., Suite 300",Glendale,91201,818-549-0700,""
All American Home Health,California,1612 West Glenoaks Blvd Suite 300,Glendale,91201,818-549-0700,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
All Care Home Health,California,100 West Broadway Suite 830,Glendale,91210,818-241-2473,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
All-Access Home Health,California,144 N Glendale Ave Suite 228,Glendale,91206,818-240-4663,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Alliance Home Health Care Services,California,315 ARDEN AVE SUITE 30,Glendale,91203,818-241-4444,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Alliance Home Health Services,California,"415 E Harvard St, Ste 202",Glendale,91205,818-247-5808,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
AM & PM Home Health Agency,California,624 West Broadway Street,Glendale,91204,818-968-0423,""
American Care Home Health,California,"434 WEST COLORADO ST, STE 100",Glendale,91204,818-551-5571,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Virtua Health,New Jersey,100 Townsend Ave,Berlin,8031,856-322-3200,""
Apex Home Health Care,California,1619 1/2 Victory Boulevard,Glendale,91201,818-500-7167,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
